filename,origin,Type
lyyerzyn.jpg,dataset/source/Type0/0.jpg,Type0
tktklxmx.jpg,dataset/source/Type0/5.jpg,Type0
oqzllfng.jpg,dataset/source/Type0/13.jpg,Type0
nrcmjrpz.jpg,dataset/source/Type0/15.jpg,Type0
gslltzeb.jpg,dataset/source/Type0/31.jpg,Type0
dolzrnhu.jpg,dataset/source/Type0/35.jpg,Type0
sjzygzdd.jpg,dataset/source/Type0/38.jpg,Type0
euabjijm.jpg,dataset/source/Type0/45.jpg,Type0
ttgwcysq.jpg,dataset/source/Type0/55.jpg,Type0
bkckhchq.jpg,dataset/source/Type0/57.jpg,Type0
fmyjkoaa.jpg,dataset/source/Type0/65.jpg,Type0
figmmubt.jpg,dataset/source/Type0/66.jpg,Type0
hjhkqwyl.jpg,dataset/source/Type0/74.jpg,Type0
ikttttkx.jpg,dataset/source/Type0/77.jpg,Type0
feqotyfa.jpg,dataset/source/Type0/79.jpg,Type0
qzwgehfa.jpg,dataset/source/Type0/84.jpg,Type0
yikbwzlv.jpg,dataset/source/Type0/89.jpg,Type0
dmoitswo.jpg,dataset/source/Type0/98.jpg,Type0
xlbcvlfx.jpg,dataset/source/Type0/99.jpg,Type0
awmkntso.jpg,dataset/source/Type0/102.jpg,Type0
jvhjidvj.jpg,dataset/source/Type0/104.jpg,Type0
reoimwpp.jpg,dataset/source/Type0/113.jpg,Type0
frvngloc.jpg,dataset/source/Type0/117.jpg,Type0
zvieaihx.jpg,dataset/source/Type0/141.jpg,Type0
klegrlhw.jpg,dataset/source/Type0/150.jpg,Type0
ehjsiziu.jpg,dataset/source/Type0/153.jpg,Type0
gkxmugvr.jpg,dataset/source/Type0/155.jpg,Type0
qzyeycgi.jpg,dataset/source/Type0/157.jpg,Type0
bgqdfwdl.jpg,dataset/source/Type0/159.jpg,Type0
fwzpcmtt.jpg,dataset/source/Type0/163.jpg,Type0
lfeaxlsg.jpg,dataset/source/Type0/170.jpg,Type0
inzukftl.jpg,dataset/source/Type0/175.jpg,Type0
extlrqyq.jpg,dataset/source/Type0/186.jpg,Type0
kgrlzisx.jpg,dataset/source/Type0/190.jpg,Type0
vsfelmrv.jpg,dataset/source/Type0/192.jpg,Type0
qzbugbxo.jpg,dataset/source/Type0/211.jpg,Type0
lzyitlka.jpg,dataset/source/Type0/212.jpg,Type0
krufxvrf.jpg,dataset/source/Type0/214.jpg,Type0
dbsorjmr.jpg,dataset/source/Type0/223.jpg,Type0
acoqrzim.jpg,dataset/source/Type0/224.jpg,Type0
ohwdhvah.jpg,dataset/source/Type0/229.jpg,Type0
obnqeyfc.jpg,dataset/source/Type0/231.jpg,Type0
iatldxzv.jpg,dataset/source/Type0/233.jpg,Type0
mxlmpjwu.jpg,dataset/source/Type0/236.jpg,Type0
eyxbdorf.jpg,dataset/source/Type0/243.jpg,Type0
smtyotni.jpg,dataset/source/Type0/246.jpg,Type0
eiuagumj.jpg,dataset/source/Type0/251.jpg,Type0
