filename,ans
217.jpg,Type0
231.jpg,Type0
475.jpg,Type0
588.jpg,Type0
623.jpg,Type0
646.jpg,Type0
773.jpg,Type0
848.jpg,Type0
899.jpg,Type0
902.jpg,Type2
974.jpg,Type3
1038.jpg,Type2
1040.jpg,Type0
1214.jpg,Type0
1300.jpg,Type2
1378.jpg,Type0
1523.jpg,Type0
1592.jpg,Type0
1722.jpg,Type1
1805.jpg,Type0
1904.jpg,Type0
1922.jpg,Type3
1932.jpg,Type0
1938.jpg,Type0
2189.jpg,Type0
2303.jpg,Type3
2327.jpg,Type2
2335.jpg,Type0
2675.jpg,Type3
2712.jpg,Type0
2738.jpg,Type0
2786.jpg,Type0
2811.jpg,Type3
2884.jpg,Type3
2943.jpg,Type3
2944.jpg,Type0
2963.jpg,Type0
2975.jpg,Type3
3020.jpg,Type3
3028.jpg,Type0
3083.jpg,Type0
3095.jpg,Type3
3238.jpg,Type0
3291.jpg,Type0
3321.jpg,Type0
3446.jpg,Type0
3484.jpg,Type0
3554.jpg,Type0
3612.jpg,Type0
3620.jpg,Type2
3664.jpg,Type3
3840.jpg,Type3
3874.jpg,Type0
3911.jpg,Type0
4089.jpg,Type0
4129.jpg,Type0
4169.jpg,Type3
4176.jpg,Type0
4280.jpg,Type0
4314.jpg,Type0
4506.jpg,Type2
4653.jpg,Type0
4688.jpg,Type0
4691.jpg,Type2
4712.jpg,Type0
4778.jpg,Type0
4813.jpg,Type1
4854.jpg,Type2
4914.jpg,Type3
4957.jpg,Type0
5026.jpg,Type0
5042.jpg,Type3
5118.jpg,Type0
5149.jpg,Type3
5150.jpg,Type0
5159.jpg,Type2
5301.jpg,Type3
5318.jpg,Type0
5669.jpg,Type3
5807.jpg,Type2
5822.jpg,Type0
5967.jpg,Type3
6117.jpg,Type0
6122.jpg,Type2
6208.jpg,Type1
6262.jpg,Type3
6291.jpg,Type0
6300.jpg,Type0
6382.jpg,Type0
6390.jpg,Type0
6427.jpg,Type0
6617.jpg,Type3
6634.jpg,Type0
6733.jpg,Type2
6857.jpg,Type3
6874.jpg,Type2
6958.jpg,Type2
7005.jpg,Type2
7017.jpg,Type2
7035.jpg,Type2
7103.jpg,Type0
7132.jpg,Type0
7231.jpg,Type0
7279.jpg,Type0
7434.jpg,Type0
7608.jpg,Type0
7629.jpg,Type3
7680.jpg,Type1
7795.jpg,Type2
7815.jpg,Type0
7839.jpg,Type0
7935.jpg,Type0
8047.jpg,Type0
8129.jpg,Type3
8177.jpg,Type0
8184.jpg,Type0
8238.jpg,Type0
8281.jpg,Type2
8321.jpg,Type3
8345.jpg,Type0
8410.jpg,Type0
8423.jpg,Type3
8438.jpg,Type2
8490.jpg,Type0
8539.jpg,Type0
8576.jpg,Type3
8717.jpg,Type0
8718.jpg,Type3
8751.jpg,Type0
8820.jpg,Type2
8837.jpg,Type0
8929.jpg,Type0
8944.jpg,Type0
8967.jpg,Type2
8997.jpg,Type3
9026.jpg,Type3
9094.jpg,Type0
9193.jpg,Type0
9266.jpg,Type0
9357.jpg,Type0
9509.jpg,Type0
9579.jpg,Type3
9825.jpg,Type2
9826.jpg,Type3
9896.jpg,Type0
10045.jpg,Type0
10068.jpg,Type2
10166.jpg,Type0
10194.jpg,Type0
10291.jpg,Type0
10304.jpg,Type3
10319.jpg,Type0
10328.jpg,Type0
10476.jpg,Type1
10735.jpg,Type1
10759.jpg,Type0
10896.jpg,Type0
11028.jpg,Type0
11067.jpg,Type0
11112.jpg,Type0
11185.jpg,Type3
11285.jpg,Type0
11291.jpg,Type0
11408.jpg,Type0
11700.jpg,Type0
11796.jpg,Type2
11917.jpg,Type2
11928.jpg,Type2
11938.jpg,Type0
11945.jpg,Type0
12005.jpg,Type0
12041.jpg,Type3
12072.jpg,Type0
12117.jpg,Type2
12157.jpg,Type3
12164.jpg,Type3
12197.jpg,Type2
12255.jpg,Type2
12271.jpg,Type1
12309.jpg,Type3
12438.jpg,Type0
12495.jpg,Type0
12592.jpg,Type2
12886.jpg,Type0
12977.jpg,Type0
13028.jpg,Type3
13173.jpg,Type2
13225.jpg,Type0
13342.jpg,Type3
13425.jpg,Type0
13467.jpg,Type3
13513.jpg,Type0
13515.jpg,Type0
13614.jpg,Type0
13688.jpg,Type0
13703.jpg,Type3
13738.jpg,Type2
13833.jpg,Type2
13842.jpg,Type0
13925.jpg,Type0
14083.jpg,Type0
14117.jpg,Type0
14251.jpg,Type0
14276.jpg,Type3
14309.jpg,Type2
14344.jpg,Type0
14385.jpg,Type3
14441.jpg,Type2
14493.jpg,Type0
14559.jpg,Type3
14574.jpg,Type2
14592.jpg,Type0
14625.jpg,Type3
14637.jpg,Type0
14744.jpg,Type3
14747.jpg,Type2
14771.jpg,Type2
14912.jpg,Type0
14996.jpg,Type3
15059.jpg,Type0
15141.jpg,Type0
15177.jpg,Type3
15222.jpg,Type0
15293.jpg,Type3
15320.jpg,Type0
